File name, Read_Time, k, reduction_time, process_time, total_time
myciel3.dot, 0.13314104080200195, 4, 0.006588459014892578, 0.009368896484375, 0.015957355499267578
myciel4.dot, 0.07607889175415039, 5, 0.003283262252807617, 0.14309120178222656, 0.14637446403503418
2-Insertions_3.dot, 0.041370391845703125, 4, 0.002811431884765625, 0.40337419509887695, 0.4061856269836426
qwhopt.order5.holes10.1.dot, 0.056925058364868164, 5, 0.0026688575744628906, 0.004128932952880859, 0.00679779052734375
qwhdec.order5.holes10.1.dot, 0.056906700134277344, 5, 0.002523183822631836, 0.003925800323486328, 0.006448984146118164
1-FullIns_3.dot, 0.05731654167175293, 4, 0.002543926239013672, 0.004243135452270508, 0.00678706169128418
3-Insertions_3.dot, 0.06300044059753418, T, T, T, T
mug88_25.dot, 0.082550048828125, T, T, T, T
mug88_1.dot, 0.082794189453125, T, T, T, T
4-Insertions_3.dot, 0.08814716339111328, T, T, T, T
mug100_25.dot, 0.09304237365722656, T, T, T, T
mug100_1.dot, 0.09393000602722168, T, T, T, T
2-FullIns_3.dot, 0.11333560943603516, T, T, T, T
1-Insertions_4.dot, 0.130340576171875, T, T, T, T
myciel5.dot, 0.13234186172485352, T, T, T, T
queen5_5.dot, 0.0899806022644043, 5, 0.0028390884399414062, 0.005263090133666992, 0.008102178573608398
3-FullIns_3.dot, 0.24109387397766113, T, T, T, T
jean.dot, 0.14414095878601074, 10, 0.0035295486450195312, 0.01889181137084961, 0.02242136001586914
4-FullIns_3.dot, 0.30396509170532227, T, T, T, T
2-Insertions_4.dot, 0.30557918548583984, T, T, T, T
queen6_6.dot, 0.16228151321411133, T, T, T, T
1-FullIns_4.dot, 0.37928318977355957, 5, 0.004651069641113281, 6.2484447956085205, 6.253095865249634
huck.dot, 0.17016339302062988, 11, 0.0036611557006835938, 0.02587580680847168, 0.029536962509155273
DSJC125.1.dot, 0.41315412521362305, T, T, T, T
myciel6.dot, 0.4224853515625, T, T, T, T
miles250.dot, 0.26550841331481934, 8, 0.0042896270751953125, 0.02358412742614746, 0.027873754501342773
5-FullIns_3.dot, 0.4461081027984619, T, T, T, T
david.dot, 0.2251896858215332, 11, 0.0038323402404785156, 0.04244494438171387, 0.04627728462219238
queen7_7.dot, 0.2646336555480957, 7, 0.003765583038330078, 2.6122899055480957, 2.616055488586426
anna.dot, 0.2745184898376465, 11, 0.00393223762512207, 0.05990123748779297, 0.06383347511291504
3-Insertions_4.dot, 0.6374082565307617, T, T, T, T
1-Insertions_5.dot, 0.685161828994751, T, T, T, T
games120.dot, 0.4002244472503662, 9, 0.004804134368896484, 0.06342864036560059, 0.06823277473449707
queen8_8.dot, 0.40857553482055664, T, T, T, T
2-FullIns_4.dot, 0.9462323188781738, T, T, T, T
4-Insertions_4.dot, 1.0504519939422607, T, T, T, T
queen9_9.dot, 0.5927011966705322, T, T, T, T
miles500.dot, 0.6517245769500732, T, T, T, T
myciel7.dot, 1.4090185165405273, T, T, T, T
queen8_12.dot, 0.76953125, 12, 0.0058727264404296875, 2.595525026321411, 2.601397752761841
queen10_10.dot, 0.8657951354980469, T, T, T, T
DSJC250.1.dot, 1.8487322330474854, T, T, T, T
1-FullIns_5.dot, 1.8816912174224854, T, T, T, T
homer.dot, 0.9116313457489014, T, T, T, T
3-FullIns_4.dot, 2.0464062690734863, T, T, T, T
zeroin.i.3.dot, 2.064255952835083, T, T, T, T
zeroin.i.2.dot, 2.0347039699554443, T, T, T, T
DSJR500.1.dot, 2.069387435913086, T, T, T, T
mulsol.i.2.dot, 2.2533113956451416, T, T, T, T
DSJC125.5.dot, 2.229619264602661, T, T, T, T
mulsol.i.3.dot, 2.2757632732391357, T, T, T, T
mulsol.i.1.dot, 2.26908278465271, T, T, T, T
2-Insertions_5.dot, 2.2809977531433105, T, T, T, T
mulsol.i.4.dot, 2.288355827331543, T, T, T, T
queen11_11.dot, 1.1154730319976807, T, T, T, T
mulsol.i.5.dot, 2.3030331134796143, T, T, T, T
zeroin.i.1.dot, 2.3673267364501953, T, T, T, T
ash331GPIA.dot, 2.422374725341797, T, T, T, T
miles750.dot, 1.1942138671875, T, T, T, T
queen12_12.dot, 1.506052017211914, T, T, T, T
qwhdec.order18.holes120.1.dot, 3.190157413482666, T, T, T, T
qwhopt.order18.holes120.1.dot, 3.173243522644043, T, T, T, T
le450_5a.dot, 3.3670060634613037, T, T, T, T
le450_5b.dot, 3.3012847900390625, T, T, T, T
1-Insertions_6.dot, 3.6547796726226807, T, T, T, T
miles1000.dot, 1.8592066764831543, T, T, T, T
4-FullIns_4.dot, 3.8240721225738525, T, T, T, T
queen13_13.dot, 1.9365808963775635, T, T, T, T
DSJC125.9.dot, 4.014992952346802, T, T, T, T
will199GPIA.dot, 3.891221761703491, T, T, T, T
ash608GPIA.dot, 4.528498411178589, T, T, T, T
le450_15a.dot, 4.692387104034424, T, T, T, T
le450_15b.dot, 4.7010908126831055, T, T, T, T
le450_25a.dot, 4.77313494682312, T, T, T, T
le450_25b.dot, 4.776301622390747, T, T, T, T
queen14_14.dot, 2.4286980628967285, T, T, T, T
fpsol2.i.3.dot, 5.007040500640869, T, T, T, T
