File name, Read_Time, 4, reduction_time_4, process_time_4, total_time_4, 8, reduction_time_8, process_time_8, total_time_8, 16, reduction_time_16, process_time_16, total_time_16, 32, reduction_time_32, process_time_32, total_time_32, 64, reduction_time_64, process_time_64, total_time_64
myciel3.dot, 0.13750767707824707, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
myciel4.dot, 0.04483461380004883, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
2-Insertions_3.dot, 0.045148372650146484, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
qwhopt.order5.holes10.1.dot, 0.0622096061706543, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
qwhdec.order5.holes10.1.dot, 0.06219124794006348, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
1-FullIns_3.dot, 0.06266117095947266, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
3-Insertions_3.dot, 0.06908416748046875, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
mug88_25.dot, 0.09094071388244629, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
mug88_1.dot, 0.09080362319946289, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
4-Insertions_3.dot, 0.11027121543884277, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
mug100_25.dot, 0.1025381088256836, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
mug100_1.dot, 0.10314702987670898, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
2-FullIns_3.dot, 0.12396645545959473, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
1-Insertions_4.dot, 0.14319777488708496, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
myciel5.dot, 0.15987253189086914, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
queen5_5.dot, 0.09879708290100098, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
3-FullIns_3.dot, 0.21283364295959473, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
